Final result
Promotion Team(s):
          Team	W	D	L	GF	GA	GD	Pts
         Mexico	3	1	0	6	0	6	10
          Egypt	3	1	0	7	1	6	10
        Nigeria	3	1	0	4	1	3	10
        Belgium	4	0	0	7	0	7	12
        Denmark	2	1	1	2	1	1	7
    Switzerland	2	1	1	4	3	1	7
         Brazil	3	1	0	7	3	4	10
         Serbia	2	1	1	5	4	1	7
Elimination Team(s):
          Team	W	D	L	GF	GA	GD	Pts
           Iran	1	1	2	2	4	-2	4
        Croatia	2	0	2	4	7	-3	6
        Tunisia	0	3	1	1	2	-1	3
       Colombia	2	0	2	3	3	0	6
        Iceland	3	0	1	5	2	3	9
        Uruguay	2	1	1	6	2	4	7
          Spain	1	2	1	2	2	0	5
       Portugal	3	0	1	7	2	5	9
